"GeneID"	"Length"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
1281	5490	7.79897451580517	6.68697107548985	19.9649427930541	1.01615251964956e-08	7.0235776241641e-05	9.70672096402139
4118	1056	-9.67594171647744	6.30599215028824	-19.2489981269475	1.39870111005956e-08	7.0235776241641e-05	8.70843305778037
11005	3832	-6.43356894863658	8.01961753148125	-15.956612706059	7.15737740902718e-08	0.000178839218996544	8.57369250070146
2335	8977	8.64403311854827	6.78905465362735	15.716352069722	8.161664599299e-08	0.000178839218996544	8.06446482968138
6678	3141	5.33626365401409	7.08639504334523	14.5472248765098	1.59017182661954e-07	0.000178839218996544	7.92629371685025
3918	6503	6.03388976099559	5.9000421740152	14.618630403683	1.52455105189216e-07	0.000178839218996544	7.82185041355417
84518	528	-6.89924408598488	7.36983961704377	-14.0059629338773	2.20263285938075e-07	0.000201100380061463	7.60469450236145
342897	1973	-5.22928714747196	6.97915628994253	-13.6562613091305	2.73569057341416e-07	0.00022895450357332	7.46295150524218
1303	11579	7.60622079253669	5.74192579238458	14.5340041665077	1.60266152640535e-07	0.000178839218996544	7.40464271795961
800	5506	4.59691646025754	6.39502364274495	13.4078807226165	3.20090883985731e-07	0.000229619481990621	7.32305123657239
1278	5411	8.13576443230783	5.49823108083635	15.0172223019896	1.20914331702124e-07	0.000178839218996544	7.30692872957259
59	1851	5.06698934416899	5.34994792026556	13.5059658633655	3.00747202856394e-07	0.000229619481990621	7.25511424054434
3691	6078	4.06681866767132	5.64470243383781	12.8542041803401	4.58738335360544e-07	0.000244123902370267	6.98723691548659
4060	2116	5.85257269216852	6.58091861814627	12.846804489154	4.60993685122708e-07	0.000244123902370267	6.95570292984455
3909	10702	5.00418086230905	5.72055385786093	12.7668624920567	4.86157328229149e-07	0.000244123902370267	6.89589931592487
1293	10696	6.28713419880822	6.05937380196132	12.8014386183542	4.75091817029964e-07	0.000244123902370267	6.85432255764136
84525	1896	-5.61061545921248	8.28492204526838	-12.4727706958064	5.92695604277521e-07	0.000263436261369795	6.74518562526295
7045	2805	5.49243671693015	6.46590906413572	12.4467288000986	6.03309171712167e-07	0.000263436261369795	6.72192193468119
1284	6264	5.58540829750399	5.53378854930132	12.5689379250374	5.55254507198425e-07	0.000263436261369795	6.70926333055986
1277	5927	9.38672634565682	5.26898114441262	14.3471498591134	1.79131677003225e-07	0.000179901943214339	6.43692903941096
